date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:08	42278/42278	---M--	200	added ('OK')	image/jpeg	etag:%22578c5f1c-a526%22	http://wp1.themexlab.com/html2/edinburgh/images/resource/1.jpg	wp1.themexlab.com/html2/edinburgh/images/resource/1.jpg	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:16	43372/43372	---M--	200	added ('OK')	image/jpeg	etag:%22578c5f44-a96c%22	http://wp1.themexlab.com/html2/edinburgh/images/resource/3.jpg	wp1.themexlab.com/html2/edinburgh/images/resource/3.jpg	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:19	13268/13268	---M--	200	added ('OK')	image/jpeg	etag:%22578d3c02-33d4%22	http://wp1.themexlab.com/html2/edinburgh/images/team/1.jpg	wp1.themexlab.com/html2/edinburgh/images/team/1.jpg	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:23	21387/21387	---M--	200	added ('OK')	image/jpeg	etag:%22578d3da2-538b%22	http://wp1.themexlab.com/html2/edinburgh/images/team/2.jpg	wp1.themexlab.com/html2/edinburgh/images/team/2.jpg	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:28	12577/12577	---M--	200	added ('OK')	image/jpeg	etag:%22578d3ebc-3121%22	http://wp1.themexlab.com/html2/edinburgh/images/team/4.jpg	wp1.themexlab.com/html2/edinburgh/images/team/4.jpg	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:31	16460/16460	---M--	200	added ('OK')	image/jpeg	etag:%22578d3ed6-404c%22	http://wp1.themexlab.com/html2/edinburgh/images/team/5.jpg	wp1.themexlab.com/html2/edinburgh/images/team/5.jpg	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:34	14392/14392	---M--	200	added ('OK')	image/jpeg	etag:%22578d3eee-3838%22	http://wp1.themexlab.com/html2/edinburgh/images/team/6.jpg	wp1.themexlab.com/html2/edinburgh/images/team/6.jpg	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:35	1175/1175	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Jan%202017%2008:53:34%20GMT	http://wp1.themexlab.com/html2/edinburgh/.menu-1	wp1.themexlab.com/html2/edinburgh/.menu-1	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:36	5963/5963	---M--	200	added ('OK')	image/png	etag:%2257af36da-174b%22	http://wp1.themexlab.com/html2/edinburgh/images/resource/a1.png	wp1.themexlab.com/html2/edinburgh/images/resource/a1.png	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:36	1175/1175	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Jan%202017%2008:53:36%20GMT	http://wp1.themexlab.com/html2/edinburgh/.menu-2	wp1.themexlab.com/html2/edinburgh/.menu-2	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:38	5925/5925	---M--	200	added ('OK')	image/png	etag:%2257aca180-1725%22	http://wp1.themexlab.com/html2/edinburgh/images/resource/a2.png	wp1.themexlab.com/html2/edinburgh/images/resource/a2.png	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:38	1175/1175	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Jan%202017%2008:53:38%20GMT	http://wp1.themexlab.com/html2/edinburgh/.menu-3	wp1.themexlab.com/html2/edinburgh/.menu-3	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:39	252630/252630	---M--	200	added ('OK')	image/jpeg	etag:%2257b401de-3dad6%22	http://wp1.themexlab.com/html2/edinburgh/images/main-slider/3.jpg	wp1.themexlab.com/html2/edinburgh/images/main-slider/3.jpg	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:39	6578/6578	---M--	200	added ('OK')	image/png	etag:%2257aca1e0-19b2%22	http://wp1.themexlab.com/html2/edinburgh/images/resource/a3.png	wp1.themexlab.com/html2/edinburgh/images/resource/a3.png	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:40	291084/291084	---M--	200	added ('OK')	image/jpeg	etag:%2257b4011e-4710c%22	http://wp1.themexlab.com/html2/edinburgh/images/main-slider/1.jpg	wp1.themexlab.com/html2/edinburgh/images/main-slider/1.jpg	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:40	1175/1175	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Jan%202017%2008:53:40%20GMT	http://wp1.themexlab.com/html2/edinburgh/.menu-4	wp1.themexlab.com/html2/edinburgh/.28.delayed	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:41	6588/6588	---M--	200	added ('OK')	image/png	etag:%2257aca274-19bc%22	http://wp1.themexlab.com/html2/edinburgh/images/resource/a4.png	wp1.themexlab.com/html2/edinburgh/images/resource/a4.png	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:46	34581/34581	---M--	200	added ('OK')	image/jpeg	etag:%2257aca3f8-8715%22	http://wp1.themexlab.com/html2/edinburgh/images/resource/4.jpg	wp1.themexlab.com/html2/edinburgh/images/resource/4.jpg	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:48	41718/41718	---M--	200	added ('OK')	image/jpeg	etag:%2257aca44c-a2f6%22	http://wp1.themexlab.com/html2/edinburgh/images/resource/5.jpg	wp1.themexlab.com/html2/edinburgh/images/resource/5.jpg	(from http://wp1.themexlab.com/html2/edinburgh/)
